record_id,timestamp,stage,hidden_signal_score,simulated_contamination_score,toy_memorization_score,canary_detection_score,ground_truth,evidence_status
SYN-0182,2023-06-18T00:00:00+00:00,TRAIN,0.5601,0.3417,0.2523,0.2791,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0183,2023-06-27T00:00:00+00:00,TRAIN,0.4726,0.2883,0.1931,0.3058,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0184,2023-07-06T00:00:00+00:00,TRAIN,0.4916,0.2999,0.1546,0.2539,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0185,2023-07-15T00:00:00+00:00,TRAIN,0.5138,0.3134,0.2217,0.2637,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0186,2023-07-24T00:00:00+00:00,TRAIN,0.5186,0.3163,0.248,0.2865,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0187,2023-08-02T00:00:00+00:00,TRAIN,0.6883,0.4199,0.3051,0.4163,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0188,2023-08-11T00:00:00+00:00,TRAIN,0.4586,0.2797,0.1737,0.2519,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0189,2023-08-20T00:00:00+00:00,TRAIN,0.5489,0.3348,0.2573,0.2595,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0190,2023-08-29T00:00:00+00:00,TRAIN,0.4859,0.2964,0.2241,0.3002,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0191,2023-09-07T00:00:00+00:00,TRAIN,0.5689,0.347,0.2415,0.3768,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0192,2023-09-16T00:00:00+00:00,TRAIN,0.6449,0.3934,0.292,0.4001,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0193,2023-09-25T00:00:00+00:00,RECALL,0.6417,0.4749,0.3931,0.3484,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0194,2023-10-04T00:00:00+00:00,RECALL,0.5585,0.4133,0.2804,0.3252,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0195,2023-10-13T00:00:00+00:00,RECALL,0.6051,0.4478,0.2959,0.3751,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0196,2023-10-22T00:00:00+00:00,RECALL,0.6901,0.5106,0.3734,0.4586,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0197,2023-10-31T00:00:00+00:00,RECALL,0.559,0.4137,0.3256,0.4085,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0198,2023-11-09T00:00:00+00:00,RECALL,0.6697,0.4956,0.3538,0.3476,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0199,2023-11-18T00:00:00+00:00,RECALL,0.684,0.5061,0.4088,0.3819,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0200,2023-11-27T00:00:00+00:00,RECALL,0.7067,0.5229,0.4157,0.4502,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0201,2023-12-06T00:00:00+00:00,RECALL,0.6499,0.4809,0.3842,0.4095,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0202,2023-12-15T00:00:00+00:00,RECALL,0.663,0.4906,0.3485,0.3995,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0203,2023-12-24T00:00:00+00:00,RECALL,0.6262,0.4634,0.4075,0.4938,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0204,2024-01-02T00:00:00+00:00,RECALL,0.6061,0.4485,0.3566,0.3716,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0205,2024-01-11T00:00:00+00:00,RECALL,0.7556,0.5592,0.464,0.4935,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0206,2024-01-20T00:00:00+00:00,RECALL,0.6923,0.5123,0.3702,0.357,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0207,2024-01-29T00:00:00+00:00,RECALL,0.5989,0.4432,0.3636,0.4101,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0208,2024-02-07T00:00:00+00:00,RECALL,0.754,0.558,0.4434,0.4605,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0209,2024-02-16T00:00:00+00:00,RECALL,0.6644,0.4917,0.418,0.479,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0210,2024-02-25T00:00:00+00:00,RECALL,0.7234,0.5353,0.391,0.4597,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0211,2024-03-05T00:00:00+00:00,RECALL,0.6873,0.5086,0.399,0.4647,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0212,2024-03-14T00:00:00+00:00,RECALL,0.6269,0.4639,0.354,0.4167,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0213,2024-03-23T00:00:00+00:00,RECALL,0.6527,0.483,0.3571,0.388,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0214,2024-04-01T00:00:00+00:00,RECALL,0.7502,0.5552,0.4657,0.4818,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0215,2024-04-10T00:00:00+00:00,RECALL,0.6299,0.4662,0.353,0.3462,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0216,2024-04-19T00:00:00+00:00,RECALL,0.6542,0.4841,0.368,0.4477,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0217,2024-04-28T00:00:00+00:00,RECALL,0.6714,0.4968,0.3787,0.4869,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0218,2024-05-07T00:00:00+00:00,RECALL,0.5877,0.4349,0.3218,0.4034,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0219,2024-05-16T00:00:00+00:00,RECALL,0.715,0.5291,0.4119,0.4854,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0220,2024-05-25T00:00:00+00:00,RECALL,0.574,0.4248,0.3031,0.3817,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0221,2024-06-03T00:00:00+00:00,RECALL,0.6432,0.476,0.3486,0.4653,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0222,2024-06-12T00:00:00+00:00,RECALL,0.5629,0.4166,0.2985,0.3633,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0223,2024-06-21T00:00:00+00:00,RECALL,0.7912,0.5855,0.5088,0.5817,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0224,2024-06-30T00:00:00+00:00,RECALL,0.6967,0.5156,0.4096,0.4347,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0225,2024-07-09T00:00:00+00:00,RECALL,0.6946,0.514,0.4285,0.45,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0226,2024-07-18T00:00:00+00:00,RECALL,0.5925,0.4385,0.3458,0.3461,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0227,2024-07-27T00:00:00+00:00,RECALL,0.7882,0.5832,0.4622,0.5002,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0228,2024-08-05T00:00:00+00:00,RECALL,0.6745,0.4991,0.4175,0.5093,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0229,2024-08-14T00:00:00+00:00,RECALL,0.7038,0.5208,0.3649,0.3929,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0230,2024-08-23T00:00:00+00:00,RECALL,0.7084,0.5242,0.4377,0.4072,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0231,2024-09-01T00:00:00+00:00,RECALL,0.5864,0.434,0.3292,0.3362,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0232,2024-09-10T00:00:00+00:00,RECALL,0.6916,0.5118,0.4169,0.3827,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0233,2024-09-19T00:00:00+00:00,RECALL,0.6392,0.473,0.3597,0.4581,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0234,2024-09-28T00:00:00+00:00,RECALL,0.6511,0.4818,0.3717,0.3789,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0235,2024-10-07T00:00:00+00:00,RECALL,0.8302,0.6143,0.4639,0.5158,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0236,2024-10-16T00:00:00+00:00,RECALL,0.7501,0.5551,0.4393,0.5202,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0237,2024-10-25T00:00:00+00:00,RECALL,0.7657,0.5666,0.4575,0.5404,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0238,2024-11-03T00:00:00+00:00,RECALL,0.7264,0.5375,0.484,0.4823,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0239,2024-11-12T00:00:00+00:00,RECALL,0.646,0.478,0.3988,0.5209,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0240,2024-11-21T00:00:00+00:00,RECALL,0.8319,0.6156,0.5282,0.5474,synthetic_positive,FICTIONAL_SIMULATION_ONLY
